Unnamed: 0,Time_Recorded,CarID,Price,manufacturer,Origin,FE_HW,FE_UR,rpm-max,Horsepower,comp_ratio,Stroke,Bore,fuel_system,Engine-size,cylinders_num,Engine-type,Curb-weight,Height,Width,Length,Wheel_Base,Engine-loc,Drive-wheels-type,vehicle_cat,doors_num,aspiration,fuel,Symboling,normalized-losses
1762,2019-02-02 15:04:36,Car226,9211.0,Velox,Japan,30,25,4991.0,,9.0,3.2,3.26,2bbl,101,4,ohc,2761,53.1,64.2,170.9,94.7,front,fwd,sedan,2.0,std,gas,Moderate risk,155.0
1097,2023-03-12 07:53:41,Car609,15131.0,Phoenix drive,Italy,27,24,5042.0,107.0,9.06,3.37,3.49,mpfi,150,6,ohc,2793,55.1,66.0,187.8,100.1,front,rwd,sedan,4.0,std,gas,Safe,88.0
486,2020-03-08 06:36:51,Car224,7223.0,Velox,Japan,31,29,4986.0,72.0,8.94,3.01,3.06,2bbl,95,4,ohc,2978,57.5,64.0,171.4,96.0,front,fwd,wagon,4.0,std,gas,Safe,
1190,2018-06-17 08:18:39,Car727,6985.0,Velox,Japan,33,29,5038.0,75.0,8.83,2.91,3.19,2bbl,99,4,ohc,2234,54.6,65.4,164.6,95.4,front,fwd,hatchback,2.0,std,gas,Moderate risk,95.0
479,2021-10-12 19:52:40,Car457,15890.0,Helix,Japan,28,27,4931.0,76.0,8.65,3.43,3.23,mpfi,151,4,ohc,2259,53.7,68.5,187.0,96.6,front,fwd,sedan,4.0,std,gas,Safe,123.0
582,2018-11-15 19:45:49,Car685,10359.0,Velox,Japan,31,25,4989.0,118.0,8.97,,3.22,mpfi,115,4,ohc,2259,52.2,66.2,175.0,96.6,front,rwd,hatchback,2.0,std,gas,High risk,126.0
1736,2020-07-16 18:50:54,Car210,6264.0,Raven,Japan,43,31,5474.0,78.0,9.16,3.22,3.02,2bbl,83,4,ohc,1995,52.0,63.9,156.2,94.1,front,fwd,hatchback,2.0,std,gas,Moderate risk,112.0
781,2020-03-17 22:20:16,Car474,9290.0,Raven,Japan,31,22,4983.0,143.0,8.75,3.38,3.44,2bbl,109,4,ohc,2309,54.7,63.7,159.5,100.4,front,fwd,sedan,4.0,std,gas,Safe,102.0
44,2021-12-11 00:34:56,Car842,17716.0,Vortex,Germany,27,18,5447.0,156.0,9.19,2.82,3.63,mpfi,166,6,ohcf,3042,51.3,66.8,171.4,93.6,rear,rwd,hardtop,2.0,std,gas,Extreme risk,168.0
188,2018-06-22 06:49:08,Car711,7060.0,Helix,Japan,37,32,5270.0,78.0,9.01,3.27,3.08,2bbl,97,4,ohc,2032,50.6,63.6,158.6,93.8,front,fwd,hatch back,2.0,std,gas,Moderate risk,162.0
2129,2020-08-09 11:35:55,Car673,26480.0,Prism,United States,25,18,5001.0,111.0,8.56,3.48,3.52,mpfi,170,5,ohc,3357,52.8,69.4,193.2,109.8,front,rwd,sedan,4.0,std,gas,Safe,127.0
2152,2019-10-09 13:13:55,Car870,14726.0,Orion,Germany,27,26,5085.0,114.0,8.56,3.4,3.17,mpfi,138,5,ohc,2462,55.9,69.3,192.8,105.8,front,rwd,sedan,4.0,turbo,gas,Very safe,119.0
2384,2022-01-02 11:36:43,Car213,17293.0,Raven,Japan,31,21,5391.0,103.0,8.77,3.54,3.45,mpfi,162,4,ohc,2365,55.2,66.6,185.6,98.7,front,fwd,sedan,4.0,std,gas,Safe,161.0
620,2023-02-26 17:56:38,Car102,9072.0,Velox,Japan,41,35,4508.0,65.0,20.96,3.43,3.47,idi,103,4,ohc,1990,54.8,66.1,170.8,95.7,front,fwd,sedan,4.0,std,diesel,Safe,
1944,2021-06-27 09:24:02,Car709,21034.0,Raven,Japan,23,18,5308.0,143.0,8.95,3.27,3.69,mpfi,179,6,ohcv,3257,52.2,70.1,187.4,97.9,front,rwd,sedan,2.0,std,gas,Moderate risk,172.0
2483,2018-07-17 05:53:28,Car988,7642.0,Velox,Japan,32,30,4816.0,71.0,8.74,3.19,3.15,2bbl,113,4,ohc,2225,54.4,65.7,172.1,95.6,front,fwd,hatchback,4.0,std,gas,Extreme risk,
923,2021-04-29 10:51:47,Car838,8494.0,Atlas,Japan,31,27,5174.0,80.0,8.96,3.43,3.46,2bbl,136,4,ohc,2808,54.1,67.5,171.9,95.7,front,fwd,sedan,2.0,std,gas,Moderate risk,123.0
2175,2022-12-06 14:58:38,Car179,20138.0,Atlas,Japan,28,26,5232.0,148.0,8.29,3.0,3.74,spdi,150,4,ohc,3154,48.7,68.5,167.8,95.2,front,rwd,hatchback,2.0,turbo,gas,Extreme risk,168.0
2386,2018-06-19 00:47:42,Car706,7720.0,VeloX,Japan,29,23,4727.0,164.0,8.79,3.33,3.56,mpfi,100,4,ohc,2905,54.1,67.2,173.6,95.8,front,rwd,hardtop,2.0,std,gas,High risk,126.0
2536,2023-09-02 01:22:21,Car262,8727.0,Velox,Japan,30,26,4802.0,116.0,9.03,3.4,3.37,mpfi,156,4,ohc,2272,56.4,66.5,174.9,104.3,front,fwd,sedan,4.0,std,gas,Ultra safe,67.0
765,2020-09-17 23:14:48,Car833,8067.0,Raven,Japan,30,30,5155.0,69.0,9.12,3.0,3.05,2bbl,97,4,ohc,2435,57.5,63.9,164.7,94.9,front,fwd,wagon,4.0,std,gas,Safe,91.0
239,2018-07-29 10:52:04,Car617,8157.0,Atlas,Japan,33,28,5183.0,87.0,8.83,3.46,3.4,2bbl,105,4,ohc,2310,51.1,64.2,158.6,96.4,front,fwd,hatchback,2.0,std,gas,Moderate risk,125.0
170,2021-12-06 04:06:36,Car484,14920.0,Velox,Japan,28,27,4610.0,67.0,22.12,3.5,3.45,idi,150,4,ohc,3175,55.0,65.9,173.6,104.4,front,rwd,sedan,4.0,std,diesel,Safe,129.0
643,2022-02-12 20:21:28,Car844,14406.0,Nimbus,Sweden,32,24,5164.0,111.0,9.38,3.23,3.62,mpfi,138,4,ohc,3161,53.1,65.8,184.3,104.2,front,rwd,sedan,4.0,std,gas,Safe,
1970,2020-03-02 21:02:46,Car195,7707.0,Stratus,United States,36,29,5339.0,69.0,9.29,3.24,3.12,2bbl,97,4,ohc,1948,55.0,64.0,167.7,93.8,front,fwd,hatchback,2.0,std,gas,Moderate risk,102.0
618,2023-08-21 05:11:09,Car532,7054.0,Helix,Japan,44,40,5338.0,65.0,9.43,3.2,2.96,2bbl,87,4,ohc,1831,54.1,64.0,149.6,93.8,front,fwd,hatchback,2.0,std,gas,Moderate risk,
1599,2018-03-30 21:40:21,Car465,9673.0,Velox,Japan,32,22,5046.0,75.0,8.85,3.15,3.06,2bbl,119,4,ohc,2208,55.3,64.7,165.6,95.8,front,fwd,sedan,4.0,std,gas,Safe,83.0
324,2020-12-05 10:23:20,Car216,7942.0,Raven,Japan,42,36,5311.0,66.0,9.29,3.34,3.07,2bbl,101,4,ohc,2047,51.7,63.9,167.9,94.3,front,fwd,sedan,2.0,std,gas,Moderate risk,123.0
2311,2022-02-22 20:20:00,Car226,17471.0,Zenith,France,37,31,4258.0,73.0,22.33,3.36,3.2,idi,158,4,l,3067,57.8,68.1,175.5,106.3,front,rwd,sedan,4.0,std,diesel,Safe,87.0
1879,2023-07-05 07:45:19,Car281,6599.0,Atlas,Japan,40,32,5266.0,67.0,9.3,3.29,3.01,2bbl,100,4,ohc,2124,51.2,64.0,162.5,94.3,front,fwd,sedan,2.0,std,gas,High risk,157.0
1476,2020-04-06 15:44:46,Car332,7188.0,Raven,Japan,38,29,5361.0,81.0,9.11,3.31,3.15,2bbl,103,4,ohc,1883,54.3,63.7,172.4,94.9,front,fwd,sedan,4.0,std,gas,Moderate risk,131.0
1800,2022-02-05 08:06:03,Car543,17665.0,Nimbus,Sweden,25,17,5261.0,104.0,8.33,3.35,3.27,mpfi,127,4,ohc,3365,56.4,68.1,189.6,111.4,front,rwd,sedan,4.0,turbo,gas,Very safe,
56,2021-06-18 20:23:35,Car452,8827.0,Phoenix drive,Italy,26,19,5070.0,109.0,9.16,3.42,3.55,mpfi,110,4,ohc,2843,52.3,66.8,172.6,98.9,front,rwd,hatchback,2.0,std,gas,Extreme risk,
318,2020-08-27 07:35:45,Car315,8384.0,Raven,Japan,35,26,5430.0,84.0,9.05,3.51,3.08,2bbl,98,4,ohc,2485,52.6,65.3,170.6,95.2,front,fwd,hatchback,2.0,std,gas,Moderate risk,129.0
807,2023-07-03 11:21:29,Car721,16334.0,Orion,Germany,27,19,5350.0,140.0,8.78,3.34,3.25,mpfi,160,5,ohc,3021,55.2,68.6,184.9,96.6,front,fwd,sedan,4.0,std,gas,Moderate risk,160.0
1404,2023-11-04 16:15:40,Car482,7656.0,Atlas,Japan,33,28,5407.0,76.0,9.19,3.44,3.08,2bbl,100,4,ohc,2056,51.7,64.0,155.0,95.3,front,fwd,hatchback,2.0,std,gas,High risk,143.0
1102,2018-03-12 10:11:53,Car299,9875.0,Helix,Japan,29,25,4526.0,74.0,8.83,3.18,3.2,2bbl,117,4,ohc,2389,57.1,64.0,172.1,96.1,front,fwd,wagon,4.0,std,gas,Safe,75.0
2021,2023-04-27 11:43:09,Car859,8210.0,Velox,Japan,38,29,5056.0,64.0,8.98,3.28,3.01,idi,107,4,ohc,2044,54.0,64.3,167.4,97.1,front,fwd,hatch back,2.0,std,gas,Moderate risk,101.0
1564,2023-07-26 18:16:25,Car179,7861.0,Atlas,Japan,28,27,5356.0,107.0,8.38,3.32,3.14,mpfi,102,4,ohc,2278,54.3,68.1,169.5,99.0,front,fwd,sedan,4.0,std,gas,Moderate risk,160.0
2040,2022-02-01 21:44:24,Car829,7572.0,Velox,Japan,28,27,5478.0,77.0,8.87,3.31,3.21,mpfi,106,4,dohc,2146,51.5,64.3,169.8,95.0,front,rwd,hatchback,2.0,std,gas,Extreme risk,
2067,2021-04-10 13:15:25,Car265,12743.0,Prism,United States,32,25,5179.0,99.0,8.74,3.67,3.41,mpfi,111,4,ohc,2208,50.2,65.4,170.4,94.6,front,fwd,hatchback,2.0,std,gas,Extreme risk,126.0
1943,2018-12-04 19:22:15,Car719,14478.0,Nimbus,Sweden,29,21,5412.0,112.0,8.83,3.21,3.66,mpfi,147,4,ohc,2996,56.1,66.0,183.9,101.5,front,rwd,sedan,4.0,std,gas,Very safe,86.0
1018,2019-08-28 08:21:26,Car788,16582.0,Velox,Japan,28,24,5187.0,83.0,8.85,3.37,3.19,mpfi,142,4,ohc,2781,52.3,66.1,173.1,101.4,front,rwd,sedan,2.0,std,gas,Moderate risk,
1508,2018-07-03 14:07:29,Car500,7056.0,Nexus,Japan,43,31,5444.0,76.0,9.39,3.26,3.07,1bbl,102,4,ohc,1866,54.6,64.2,152.7,95.4,front,fwd,hatchback,2.0,std,gas,Moderate risk,122.0
1501,2022-07-25 02:54:46,Car270,6353.0,Velox,Japan,44,39,4800.0,60.0,23.0,3.23,3.14,idi,99,4,ohc,1921,52.8,63.4,162.9,95.9,front,fwd,sedan,4.0,std,diesel,Safe,149.0
819,2023-10-27 14:37:57,Car397,18333.0,Raven,Japan,21,18,4877.0,150.0,8.48,3.46,3.65,mpfi,165,6,ohcv,3253,51.1,68.4,189.6,98.7,front,rwd,sedan,2.0,std,gas,Safe,171.0
321,2023-07-08 22:51:59,Car841,5378.0,Velox,Japan,35,28,5741.0,76.0,8.81,3.22,3.14,2bbl,99,4,ohc,1911,54.2,63.6,157.6,95.0,front,fwd,hatchback,2.0,std,gas,Moderate risk,
2496,2021-04-04 10:32:57,Car469,9193.0,Velox,Japan,36,25,5244.0,110.0,9.11,3.3,3.3,mpfi,109,4,ohc,2957,56.1,67.0,168.9,100.4,front,fwd,sedan,4.0,std,gas,Very safe,91.0
43,2020-01-20 12:39:26,Car717,8141.0,Velox,Japan,35,32,4925.0,70.0,8.81,3.19,3.14,2bbl,96,4,ohc,2199,55.2,66.3,171.1,95.5,front,fwd,sedan,4.0,std,gas,Safe,95.0
1741,2018-06-05 14:52:01,Car764,18223.0,Zenith,France,24,20,5117.0,116.0,7.96,3.11,3.74,mpfi,118,4,l,3031,59.8,67.1,191.9,108.4,front,rwd,sedan,4.0,turbo,gas,Safe,137.0
1846,2020-10-30 03:49:45,Car172,16812.0,Nimbus,Sweden,24,18,5121.0,171.0,8.79,3.35,3.77,mpfi,170,6,ohc,3065,55.8,68.9,187.1,107.6,front,rwd,sedan,4.0,std,gas,Very safe,120.0
2309,2018-02-26 18:58:41,Car510,8167.0,Atlas,Japan,27,19,5366.0,108.0,8.46,3.46,3.23,spdi,118,4,ohc,2764,51.5,65.9,173.3,95.9,front,fwd,hatchback,2.0,std,gas,Safe,129.0
1939,2023-07-11 23:05:07,Car423,12615.0,Helix,Japan,28,27,4695.0,97.0,19.9,3.46,3.5,idi,115,4,ohc,2623,57.8,67.7,196.5,106.8,front,rwd,sedan,4.0,turbo,diesel,Safe,100.0
433,2022-08-30 17:09:04,Car482,11623.0,Vortex,Germany,30,16,5316.0,114.0,9.86,3.18,3.74,mpfi,195,4,dohcv,3172,52.2,67.1,172.8,98.0,front,rwd,hatchback,2.0,std,gas,High risk,
1766,2018-07-16 10:22:52,Car308,15155.0,Zenith,France,31,21,5000.0,111.0,8.46,3.67,3.64,mpfi,149,4,ohc,3220,55.6,66.5,187.7,103.4,front,rwd,wagon,4.0,std,gas,Safe,
2196,2022-12-24 13:13:37,Car867,8074.0,Raven,Japan,32,30,5360.0,72.0,9.34,3.19,2.94,2bbl,92,4,ohc,2295,52.8,64.3,161.6,94.8,front,fwd,hatchback,2.0,std,gas,Moderate risk,104.0
134,2020-03-09 15:17:31,Car459,14785.0,Raven,Japan,29,18,5354.0,144.0,8.85,3.31,3.15,mpfi,117,6,ohcv,2983,51.8,65.9,185.7,96.2,front,fwd,sedan,4.0,std,gas,Safe,148.0
1498,2018-08-22 05:59:11,Car424,7612.0,Nexus,Japan,46,37,5574.0,66.0,9.6,3.23,3.03,2bbl,92,4,ohc,1867,51.7,63.6,157.3,93.8,front,fwd,sedan,2.0,std,gas,Moderate risk,127.0
1186,2019-09-13 16:56:54,Car135,15590.0,Equinox,France,30,26,5154.0,79.0,8.91,3.49,3.1,mpfi,153,4,ohc,2878,55.2,68.3,170.3,96.1,front,fwd,sedan,4.0,std,gas,Moderate risk,123.0
1860,2023-10-09 23:17:14,Car872,9644.0,Zenith,France,29,31,4343.0,78.0,21.69,3.41,3.18,idi,119,4,ohc,3200,57.0,67.1,181.2,106.2,front,rwd,sedan,4.0,turbo,diesel,Safe,104.0
1896,2019-08-27 23:33:29,Car619,18653.0,Zenith,France,28,22,5355.0,113.0,8.54,2.99,3.67,mpfi,143,4,l,2695,56.2,67.5,182.7,103.0,front,rwd,sedan,4.0,std,gas,Safe,
581,2022-08-29 13:49:18,Car744,17520.0,Pulse,Sweden,27,20,5437.0,105.0,8.81,3.34,3.5,mpfi,115,4,ohc,2332,55.5,65.8,187.5,96.6,front,fwd,sedan,4.0,std,gas,High risk,162.0
1301,2021-09-24 12:00:59,Car122,16905.0,Zenith,France,29,18,5163.0,124.0,8.33,3.21,3.69,mpfi,121,4,ohc,2487,57.9,66.6,193.1,104.8,front,rwd,sedan,4.0,std,gas,Safe,150.0
1377,2018-04-20 22:21:27,Car199,8412.0,Nexus,Japan,38,29,5519.0,83.0,8.87,3.68,3.21,1bbl,102,4,ohc,1903,53.0,65.3,164.4,95.8,front,fwd,sedan,4.0,std,gas,Safe,94.0
1084,2021-05-23 11:48:12,Car466,9695.0,Raven,Japan,26,24,5668.0,109.0,8.55,3.34,3.51,mpfi,113,4,ohc,2553,55.2,64.9,171.0,97.8,front,fwd,hatchback,2.0,std,gas,Extreme risk,170.0
705,2021-04-25 22:40:32,Car133,20293.0,Aegis,Germany,25,16,4696.0,176.0,8.95,3.3,3.56,mpfi,167,6,ohc,3596,52.0,68.1,186.0,103.6,front,rwd,hatchback,2.0,std,gas,Safe,125.0
508,2020-02-13 12:13:48,Car609,7833.0,Velox,Japan,39,28,4959.0,76.0,8.96,2.62,3.17,2bbl,93,4,ohc,2044,53.0,63.7,162.8,95.5,front,fwd,hatch back,2.0,std,gas,Moderate risk,104.0
2046,2020-04-05 08:26:28,Car770,17190.0,Zenith,France,30,19,5393.0,118.0,8.27,3.3,3.64,mpfi,127,4,ohc,2418,57.9,69.1,188.5,103.5,front,rwd,sedan,4.0,std,gas,Safe,
1116,2021-03-10 07:12:29,Car214,18150.0,Helix,Japan,28,18,5612.0,161.0,8.28,3.4,3.65,mpfi,125,4,rotor,3113,50.1,67.8,172.4,95.6,front,rwd,hatchback,2.0,std,gas,Extreme risk,
1592,2018-02-01 18:10:18,Car866,16380.0,Aegis,Germany,22,18,5302.0,104.0,8.8,3.25,3.56,mpfi,135,6,ohc,2964,56.4,66.5,185.3,105.3,front,fwd,wagon,4.0,std,gas,Safe,119.0
430,2019-04-17 19:09:01,Car238,11142.0,Raven,Japan,41,32,5125.0,67.0,9.23,3.13,3.14,2bbl,99,4,ohc,2024,51.4,63.2,170.4,94.9,front,fwd,sedan,4.0,std,gas,Safe,
1228,2018-03-19 21:27:06,Car867,11707.0,Raven,Japan,36,29,5430.0,72.0,9.07,3.36,3.1,2bbl,98,4,ohc,2149,55.3,64.3,169.5,97.3,front,fwd,wagon,4.0,std,gas,Safe,95.0
2297,2022-12-24 20:12:09,Car227,9023.0,Atlas,Japan,29,27,5011.0,73.0,8.92,3.29,3.15,2bbl,99,4,ohc,2198,51.8,63.8,158.9,95.6,front,rwd,hatch back,2.0,std,gas,High risk,
1261,2018-10-22 16:18:50,Car688,9647.0,Stratus,United States,28,24,4959.0,83.0,8.32,3.38,3.51,2bbl,105,4,ohc,2478,57.4,64.1,166.5,95.9,front,fwd,wagon,4.0,std,gas,Very safe,83.0
1032,2019-08-09 21:11:15,Car385,14606.0,Vertex,Germany,26,19,5461.0,106.0,8.93,3.38,3.27,mpfi,125,4,ohc,2551,55.2,66.3,183.2,98.4,front,fwd,sedan,4.0,std,gas,High risk,100.0
2480,2022-03-28 13:48:39,Car944,10965.0,velox,Japan,31,20,5801.0,108.0,8.98,3.29,3.13,mpfi,96,4,dohc,2160,52.5,65.9,170.8,95.1,front,rwd,hatchback,2.0,std,gas,Moderate risk,
599,2022-10-17 03:19:45,Car387,18911.0,velox,Japan,25,19,5479.0,176.0,9.42,3.26,3.78,mpfi,182,6,dohc,3038,53.0,66.8,173.1,97.7,front,rwd,hatchback,2.0,std,gas,High risk,
1368,2020-09-09 00:15:07,Car379,13091.0,phoenix drive,Italy,26,23,4608.0,82.0,8.97,3.18,3.6,mpfi,118,4,dohc,2857,51.0,65.2,164.8,96.2,front,rwd,convertible,2.0,std,gas,Extreme risk,
1211,2020-05-04 09:00:22,Car830,7915.0,altair,Japan,31,26,5318.0,80.0,8.79,3.47,3.44,2bbl,147,4,ohc,2564,54.2,68.1,184.0,95.7,front,fwd,wagon,4.0,std,gas,Safe,86.0
1163,2020-04-11 17:17:47,Car163,19631.0,phoenix drive,Italy,25,19,5244.0,113.0,9.15,3.1,3.6,mpfi,126,4,ohc,3295,48.6,64.5,171.1,93.4,front,rwd,convertible,2.0,std,gas,Extreme risk,122.0
1385,2018-11-07 12:40:05,Car573,8375.0,velox,Japan,35,29,5022.0,77.0,9.27,2.79,3.15,2bbl,91,4,ohc,2120,53.4,65.6,172.5,96.6,front,fwd,wagon,4.0,std,gas,Safe,92.0
521,2018-04-16 21:45:22,Car416,38468.0,kronos,Germany,25,16,4949.0,167.0,8.25,3.22,3.69,mpfi,155,8,ohcv,3328,56.2,70.1,199.9,108.7,front,rwd,sedan,4.0,std,gas,Moderate risk,
2314,2020-08-21 15:58:10,Car292,6064.0,raven,Japan,29,29,5596.0,76.0,9.08,3.33,3.18,2bbl,93,4,ohc,2181,51.4,63.6,164.1,94.2,front,fwd,hatchback,2.0,std,gas,Moderate risk,
544,2022-04-09 21:26:13,Car380,18599.0,veloX,Japan,26,17,4803.0,154.0,8.94,3.37,3.38,mpfi,176,6,ohc,3146,51.6,66.3,173.2,98.4,front,rwd,sedan,2.0,std,gas,High risk,
1935,2023-11-08 12:36:19,Car178,15707.0,cipher,United States,26,21,5002.0,150.0,8.11,3.36,3.59,mpfi,108,4,ohc,3011,56.4,67.6,175.7,101.7,front,rwd,hatchback,2.0,turbo,gas,Moderate risk,119.0
1813,2020-02-08 22:45:06,Car719,9890.0,atlas,Japan,24,24,5524.0,169.0,8.19,3.37,3.31,mpfi,153,4,ohc,2913,50.1,66.7,176.2,96.6,front,rwd,hatch back,2.0,std,gas,Extreme risk,131.0
2000,2019-05-02 21:48:27,Car967,17135.0,raven,Japan,26,18,5414.0,107.0,8.43,3.4,3.47,mpfi,118,4,ohc,3302,56.3,64.0,184.4,100.5,front,fwd,wagon,4.0,std,gas,Safe,136.0
911,2020-08-13 16:14:59,Car531,8020.0,velox,Japan,37,31,5083.0,78.0,9.42,3.14,3.21,2bbl,99,4,ohc,2594,54.1,64.0,169.4,95.0,front,fwd,sedan,4.0,std,gas,Moderate risk,100.0
2119,2022-04-07 22:11:21,Car769,6735.0,nexus,Japan,35,27,5729.0,85.0,9.1,3.46,3.12,2bbl,97,4,ohc,1919,52.5,63.6,173.0,97.2,front,fwd,wagon,4.0,std,gas,Safe,91.0
1639,2019-08-02 06:19:16,Car926,,nexus,Japan,36,29,5409.0,65.0,9.14,3.27,3.11,1bbl,99,4,ohc,2076,50.9,64.1,154.6,94.6,front,fwd,hatch back,4.0,std,gas,Moderate risk,149.0
605,2023-01-31 18:53:07,Car289,9249.0,nexus,Japan,38,34,5647.0,132.0,8.99,3.42,,1bbl,109,4,ohc,2165,53.1,66.0,163.4,94.5,front,fwd,hatchback,2.0,std,gas,High risk,103.0
1623,2022-10-14 18:35:59,Car185,15573.0,raven,Japan,27,19,5244.0,103.0,8.34,3.4,3.16,mpfi,120,4,ohc,2482,53.9,65.2,174.1,96.5,front,fwd,sedan,4.0,std,gas,High risk,123.0
457,2020-10-01 12:24:09,Car241,6959.0,stratuS,United States,32,29,5669.0,83.0,8.86,3.27,3.03,2bbl,98,4,ohc,2010,56.7,64.0,163.1,94.5,front,fwd,hatchback,4.0,std,gas,Moderate risk,93.0
354,2021-06-24 10:34:26,Car233,7926.0,velox,Japan,30,26,5048.0,93.0,9.14,3.36,3.67,2bbl,134,4,ohc,2168,52.6,65.9,172.4,97.2,front,fwd,sedan,4.0,std,gas,High risk,
93,2018-11-20 13:50:22,Car852,15661.0,velox,Japan,31,26,4598.0,85.0,8.63,3.56,3.22,mpfi,109,4,ohc,2854,56.8,64.0,171.7,99.6,front,fwd,wagon,4.0,std,gas,Very safe,
1321,2018-10-18 17:06:12,Car743,8887.0,raven,Japan,40,28,5079.0,73.0,9.38,3.25,3.18,2bbl,98,4,ohc,1943,51.2,63.4,164.6,94.9,front,fwd,sedan,4.0,std,gas,Moderate risk,
2023,2021-01-09 13:22:00,Car734,9089.0,helix,Japan,34,28,5305.0,77.0,8.79,3.23,3.18,2bbl,104,4,ohc,1933,55.8,64.3,171.0,94.9,front,fwd,sedan,4.0,std,gas,Moderate risk,120.0
1087,2022-05-28 15:41:33,Car933,8521.0,velox,Japan,33,31,5071.0,70.0,9.12,3.34,3.14,idi,99,4,ohc,2181,55.4,63.8,168.9,100.5,front,fwd,sedan,4.0,std,gas,Moderate risk,101.0
649,2019-10-20 23:22:48,Car663,9792.0,vertex,Germany,26,31,4642.0,76.0,22.05,3.38,3.12,idi,106,4,ohc,3147,55.5,66.8,186.1,106.6,front,fwd,sedan,4.0,turbo,diesel,Very safe,85.0
522,2018-10-17 02:21:30,Car514,6446.0,velox,Japan,33,31,4743.0,77.0,9.17,3.34,3.06,2bbl,100,4,ohc,1949,53.9,64.3,174.1,94.9,front,fwd,hatch back,4.0,std,gas,Moderate risk,78.0
1100,2018-09-25 02:39:35,Car168,9190.0,velox,Japan,28,25,4734.0,70.0,8.71,3.32,3.23,mpfi,123,4,ohc,2813,55.4,66.1,183.8,97.1,front,fwd,sedan,4.0,std,gas,Safe,150.0
