Unnamed: 0.2,Time_Recorded,CarID,Price,manufacturer,Origin,FE_HW,FE_UR,rpm-max,Horsepower,comp_ratio,Stroke,Bore,fuel_system,Engine-size,cylinders_num,Engine-type,Curb-weight,Height,Width,Length,Wheel_Base,Engine-loc,Drive-wheels-type,vehicle_cat,doors_num,aspiration,fuel,normalized-losses
41,2020-03-21 08:37:39,Car196,10031.0,atlas,Japan,26,26,5475.0,161.0,8.77,3.45,3.37,mpfi,114,4,ohc,2831,50.7,67.2,162.6,94.4,front,fwd,hatch back,2.0,std,gas,194.0
42,2023-12-15 14:01:04,Car163,15111.0,aegis,Germany,26,18,5203.0,171.0,8.54,3.21,3.6,mpfi,149,4,ohcf,3049,56.9,68.2,186.2,100.7,front,rwd,sedan,4.0,std,gas,92.0
43,2022-10-21 16:58:15,Car285,9213.0,helios,Japan,26,25,5103.0,108.0,9.08,3.23,3.66,mpfi,107,4,ohc,2282,54.5,66.0,174.7,96.7,front,fwd,sedan,4.0,std,gas,101.0
44,2019-09-23 01:02:14,Car425,9444.0,velox,Japan,43,34,5597.0,78.0,9.16,3.24,3.12,2bbl,81,4,ohc,1933,52.9,63.8,165.8,95.0,front,fwd,sedan,2.0,std,gas,128.0
45,2022-04-11 14:12:45,Car711,13083.0,phoenix drive,Italy,27,22,4806.0,116.0,9.22,3.39,3.41,mpfi,113,6,ohc,3068,51.4,67.8,167.6,95.4,front,rwd,hatchback,2.0,std,gas,173.0
46,2023-04-26 04:22:43,Car416,7100.0,nexus,Japan,39,39,4936.0,59.0,9.46,3.28,3.02,1bbl,90,4,ohc,2002,51.9,64.1,155.0,95.3,front,fwd,hatchback,2.0,std,gas,96.0
47,2020-01-24 13:02:59,Car605,7636.0,atlas,Japan,26,19,5061.0,141.0,7.93,3.54,3.17,spdi,109,4,ohc,3092,50.5,66.3,172.2,94.8,front,fwd,hatchback,2.0,turbo,gas,146.0
48,2021-06-18 19:16:17,Car143,23724.0,aegis,Germany,23,17,4831.0,160.0,8.71,3.37,3.3,mpfi,170,6,ohc,3240,55.3,69.8,186.3,102.6,front,rwd,sedan,4.0,turbo,gas,128.0
49,2023-01-05 09:46:10,Car519,7040.0,raven,Japan,43,40,5208.0,69.0,9.2,3.26,3.1,2bbl,100,4,ohc,1867,54.5,64.0,169.0,94.5,front,fwd,sedan,2.0,std,gas,129.0
50,2020-06-29 02:50:45,Car460,10519.0,velox,Japan,30,25,4250.0,81.0,8.49,2.97,3.59,2bbl,118,4,ohc,2254,55.2,65.6,171.7,96.6,front,fwd,hatchback,4.0,std,gas,86.0
51,2019-10-01 16:52:57,Car840,44888.0,kronos,Germany,21,15,4688.0,176.0,8.38,3.32,3.78,mpfi,306,8,ohcv,3634,53.1,69.0,197.2,117.0,front,rwd,sedan,4.0,std,gas,122.0
52,2021-01-10 21:18:51,Car263,10470.0,velox,Japan,37,29,4963.0,70.0,8.95,3.35,3.1,2bbl,106,4,ohc,2906,56.5,63.8,170.4,96.0,front,fwd,wagon,4.0,std,gas,80.0
53,2023-06-20 08:32:03,Car399,15854.0,velox,Japan,26,24,4642.0,107.0,8.57,3.3,3.24,mpfi,158,4,ohc,2944,55.4,66.0,186.9,99.7,front,rwd,wagon,4.0,std,gas,83.0
54,2021-01-05 02:05:51,Car596,18071.0,velox,Japan,28,30,4794.0,113.0,20.71,3.47,3.19,idi,169,4,ohc,2342,54.7,66.0,172.5,102.0,front,fwd,sedan,4.0,turbo,diesel,83.0
55,2021-02-25 19:19:06,Car610,35370.0,stellar motors,United Kingdom,28,18,5188.0,145.0,8.3,3.95,3.49,mpfi,165,6,ohc,3416,52.1,67.9,189.3,106.0,front,rwd,sedan,4.0,std,gas,147.0
56,2018-03-03 08:44:33,Car562,5994.0,prism,United States,40,32,5294.0,73.0,9.58,3.18,3.01,2bbl,86,4,ohc,1882,50.6,63.7,154.7,93.7,front,fwd,hatchback,2.0,std,gas,106.0
57,2022-04-16 15:08:12,Car813,6437.0,helios,Japan,31,29,4838.0,75.0,8.39,3.14,3.69,2bbl,104,4,ohcf,2220,55.0,63.9,173.0,98.9,front,4wd,wagon,4.0,std,gas,86.0
58,2019-06-18 06:57:52,Car520,13053.0,helix,Japan,26,18,5303.0,107.0,8.88,3.36,3.48,mpfi,119,4,ohc,3417,58.9,70.2,191.3,111.0,front,fwd,wagon,4.0,std,gas,121.0
59,2020-01-27 03:40:13,Car263,15235.0,velox,Japan,26,18,5331.0,156.0,8.89,3.33,3.26,mpfi,154,6,dohc,3041,51.8,69.1,180.2,102.2,front,rwd,hatchback,2.0,std,gas,199.0
60,2021-02-11 06:23:58,Car656,9088.0,velox,Japan,28,28,4944.0,73.0,8.62,2.88,3.12,2bbl,101,4,ohc,2356,57.1,63.6,171.4,100.9,front,4wd,wagon,4.0,std,gas,82.0
61,2018-08-30 13:13:32,Car275,7615.0,helix,Japan,32,26,4693.0,96.0,9.14,3.25,3.3,2bbl,105,4,ohc,2197,55.4,66.8,174.5,97.0,front,fwd,sedan,4.0,std,gas,89.0
62,2019-06-22 06:23:48,Car247,15975.0,pulse,Sweden,23,16,5160.0,110.0,8.91,3.17,3.56,mpfi,190,4,ohc,2942,56.2,68.2,190.9,110.0,front,rwd,wagon,4.0,std,gas,124.0
63,2018-12-13 03:48:02,Car599,18145.0,raven,Japan,24,20,5530.0,140.0,8.6,3.4,3.48,mpfi,174,6,ohcv,3084,56.3,69.1,181.3,103.4,front,fwd,sedan,4.0,std,gas,91.0
64,2020-12-31 22:52:01,Car625,7401.0,velox,Japan,35,29,5079.0,57.0,8.92,3.29,3.08,mpfi,102,4,ohc,2249,55.6,65.2,176.1,100.9,front,fwd,sedan,2.0,std,gas,127.0
65,2021-12-07 07:51:08,Car502,9741.0,atlas,Japan,30,26,5020.0,132.0,8.15,3.35,3.62,2bbl,149,4,ohc,2406,54.3,65.3,174.1,100.2,front,rwd,hatchback,2.0,turbo,gas,150.0
66,2023-06-01 18:44:30,Car611,12186.0,velox,Japan,30,28,4729.0,75.0,21.47,3.51,3.49,idi,148,4,ohc,2710,54.8,65.5,171.9,101.5,front,rwd,sedan,4.0,std,diesel,83.0
67,2018-08-19 17:47:20,Car677,7031.0,nexus,Japan,36,31,5772.0,69.0,9.22,3.39,3.11,2bbl,108,4,ohc,2081,52.4,64.0,156.8,94.5,front,fwd,hatchback,2.0,std,gas,172.0
68,2021-02-13 08:27:16,Car879,6434.0,vertex,Germany,44,29,4559.0,60.0,23.0,3.39,3.03,idi,104,4,ohc,2095,55.4,64.1,178.4,97.9,front,fwd,sedan,4.0,std,diesel,102.0
69,2019-10-29 20:50:59,Car565,18279.0,helix,Japan,27,26,4430.0,122.0,8.24,3.37,3.71,mpfi,128,4,ohc,2429,55.1,65.9,186.5,103.9,front,rwd,sedan,4.0,turbo,gas,130.0
70,2019-10-13 22:29:22,Car753,8143.0,velox,Japan,32,27,4652.0,82.0,9.06,3.44,3.33,mpfi,110,4,ohc,2276,55.0,66.5,173.3,101.0,front,fwd,sedan,4.0,std,gas,65.0
71,2022-03-26 01:10:20,Car546,16820.0,vertex,Germany,31,27,5057.0,87.0,9.06,3.49,3.2,mpfi,110,4,ohc,2260,55.8,66.7,172.7,102.9,front,fwd,sedan,4.0,std,gas,122.0
72,2021-05-01 06:51:57,Car805,7962.0,prism,United States,34,26,5537.0,75.0,8.83,3.32,3.09,mpfi,99,4,ohc,2814,55.3,63.8,155.9,95.4,front,fwd,hatch back,2.0,std,gas,122.0
73,2022-04-15 02:03:08,Car803,16905.0,phoenix drive,Italy,27,24,5169.0,104.0,9.03,3.29,3.05,mpfi,110,4,dohc,2878,51.9,65.6,184.0,95.3,front,rwd,hatchback,2.0,std,gas,161.0
74,2020-01-06 03:29:36,Car315,9249.0,cipher,United States,26,19,5039.0,136.0,8.12,3.32,3.5,mpfi,107,4,ohc,2257,56.2,68.7,174.2,95.7,front,fwd,sedan,4.0,turbo,gas,161.0
75,2018-02-13 19:13:46,Car440,15683.0,orion,Germany,24,17,5441.0,108.0,8.6,3.47,3.22,mpfi,130,4,ohc,3106,56.7,69.6,184.7,107.7,front,fwd,wagon,4.0,std,gas,122.0
76,2018-09-06 11:25:53,Car204,13825.0,nexus,Japan,29,27,5497.0,70.0,9.13,3.43,2.97,1bbl,103,4,ohc,3008,54.9,64.2,182.0,96.2,front,fwd,wagon,4.0,std,gas,87.0
77,2023-04-12 04:57:44,Car862,19324.0,velox,Japan,24,18,5241.0,125.0,9.51,3.65,3.45,mpfi,121,2,rotor,2479,50.4,65.7,173.9,95.7,front,rwd,hatchback,2.0,std,gas,173.0
78,2023-07-02 03:52:40,Car883,8351.0,helix,Japan,26,17,5662.0,129.0,9.23,3.29,3.32,4bbl,94,2,rotor,2411,49.9,67.2,171.8,97.2,front,rwd,hatchback,2.0,std,gas,166.0
79,2023-06-25 17:05:10,Car189,5118.0,velox,Japan,45,31,5084.0,71.0,9.27,3.13,3.0,2bbl,93,4,ohc,1821,54.9,63.5,155.8,95.5,front,fwd,sedan,4.0,std,gas,88.0
80,2022-06-20 01:14:21,Car761,17469.0,orion,Germany,25,18,5035.0,143.0,8.31,3.39,3.25,mpfi,126,4,ohc,2275,51.1,66.6,174.1,97.2,front,fwd,hatchback,2.0,std,gas,166.0
81,2019-06-01 23:24:08,Car740,9004.0,helix,Japan,33,28,5352.0,85.0,8.78,3.43,3.59,2bbl,108,4,ohc,2200,54.8,64.4,172.6,99.4,front,fwd,sedan,4.0,std,gas,94.0
82,2018-08-30 03:23:14,Car103,15335.0,Orion,Germany,27,25,5536.0,132.0,8.97,3.32,3.11,mpfi,162,4,ohc,2331,54.9,67.1,179.3,101.7,front,fwd,sedan,4.0,std,gas,97.0
83,2019-07-14 23:26:21,Car126,9446.0,helix,Japan,27,24,5731.0,107.0,8.7,3.31,3.19,mpfi,97,4,rotor,2261,49.7,67.4,172.4,97.9,front,rwd,hatchback,2.0,std,gas,178.0
84,2019-05-31 17:40:54,Car930,15207.0,aegis,Germany,26,19,4856.0,114.0,8.54,3.34,3.28,mpfi,125,6,ohc,2402,55.6,66.2,182.3,106.0,front,rwd,sedan,4.0,std,gas,123.0
85,2021-11-27 18:50:25,Car606,10603.0,velox,Japan,32,25,5033.0,112.0,8.9,3.32,3.59,mpfi,170,4,ohc,2876,52.8,66.5,175.3,97.9,front,rwd,sedan,2.0,std,gas,127.0
86,2023-06-02 04:15:53,Car943,7126.0,helios,Japan,35,31,4491.0,69.0,9.07,2.4,3.62,2bbl,100,4,ohcf,1994,52.3,63.0,157.7,94.2,front,fwd,hatchback,2.0,std,gas,84.0
87,2019-10-18 23:24:10,Car636,20786.0,nimbus,Sweden,24,18,5369.0,107.0,8.73,3.26,3.68,mpfi,119,4,ohc,3210,56.0,66.5,189.4,107.6,front,rwd,sedan,4.0,std,gas,88.0
88,2019-06-15 12:14:56,Car874,8823.0,velox,Japan,28,25,5899.0,109.0,9.02,3.2,3.24,mpfi,92,4,dohc,2282,51.3,64.3,168.6,94.5,front,rwd,hatchback,2.0,std,gas,172.0
89,2022-02-21 23:30:13,Car604,6203.0,helios,Japan,32,30,4816.0,74.0,8.85,2.85,3.55,2bbl,101,4,ohc,2099,54.9,63.7,171.2,95.1,front,fwd,wagon,4.0,std,gas,65.0
90,2019-02-20 21:28:03,Car275,8074.0,velox,Japan,28,27,5171.0,74.0,9.05,3.39,3.12,mpfi,143,4,ohc,2814,52.5,66.0,177.1,95.5,front,rwd,hatchback,2.0,std,gas,126.0
91,2019-01-13 21:00:19,Car952,45400.0,aegis,Germany,23,15,4936.0,201.0,8.38,3.32,3.78,mpfi,207,6,ohc,3482,54.5,70.1,190.6,105.0,front,rwd,hardtop,2.0,std,gas,123.0
92,2023-09-14 12:19:23,Car465,21494.0,aegiS,Germany,22,19,5097.0,151.0,8.37,3.36,3.25,mpfi,195,6,ohc,3324,56.0,68.8,186.3,109.8,front,rwd,sedan,4.0,std,gas,171.0
93,2022-01-12 08:26:56,Car787,9554.0,phoenix drive,Italy,27,26,5054.0,86.0,9.15,2.85,3.6,mpfi,124,4,dohc,3065,51.4,64.3,164.5,95.3,front,rwd,convertible,2.0,std,gas,125.0
94,2022-03-18 00:11:20,Car331,15125.0,zenith,France,25,25,4768.0,83.0,8.98,3.31,3.65,mpfi,167,4,l,3122,54.0,68.4,193.2,109.4,front,rwd,wagon,4.0,std,gas,125.0
95,2022-03-09 07:15:42,Car786,13231.0,prism,United States,34,19,5170.0,72.0,8.64,3.44,3.48,2bbl,116,4,ohc,2906,57.8,68.0,173.0,103.1,front,fwd,wagon,4.0,std,gas,147.0
96,2018-02-11 14:46:01,Car320,7894.0,nexus,Japan,33,29,5495.0,75.0,9.17,3.36,3.02,2bbl,103,4,ohc,2003,54.8,63.8,170.5,96.3,front,fwd,sedan,4.0,std,gas,110.0
97,2020-09-16 16:38:50,Car223,17618.0,pulse,Sweden,25,16,5210.0,115.0,8.92,3.23,3.76,mpfi,173,4,ohc,2920,56.4,67.4,189.0,108.8,front,rwd,sedan,4.0,std,gas,117.0
98,2020-05-06 10:34:50,Car272,8409.0,helios,Japan,35,27,5193.0,71.0,8.98,2.53,3.64,2bbl,109,4,ohcf,2289,52.8,63.7,170.3,95.5,front,fwd,sedan,4.0,std,gas,104.0
99,2019-03-28 15:58:33,Car198,18472.0,zenith,France,25,18,5078.0,135.0,8.49,3.14,3.58,mpfi,164,4,l,3008,57.2,69.5,186.4,110.9,front,rwd,wagon,4.0,turbo,gas,93.0
100,2020-09-12 08:45:32,Car266,6511.0,heliX,Japan,35,31,4983.0,68.0,8.78,3.33,3.13,2bbl,106,4,ohc,1964,54.2,64.3,170.2,95.5,front,fwd,hatchback,2.0,std,gas,121.0
101,2023-04-23 17:10:39,Car514,6920.0,atlas,Japan,34,33,5228.0,71.0,9.06,3.32,3.07,2bbl,101,4,ohc,2126,51.1,63.9,158.5,95.9,front,fwd,hatchback,2.0,std,gas,162.0
102,2019-05-29 00:23:20,Car805,6352.0,atlas,Japan,33,28,4985.0,80.0,8.92,3.28,3.56,2bbl,104,4,ohc,2158,53.8,63.7,171.7,95.2,front,fwd,hatchback,2.0,std,gas,113.0
103,2023-08-16 12:42:39,Car684,29901.0,kronos,Germany,25,17,4678.0,181.0,8.75,3.34,3.67,mpfi,191,5,ohc,3251,56.4,69.8,187.7,106.9,front,rwd,sedan,4.0,turbo,gas,123.0
104,2020-06-21 11:08:40,Car293,16188.0,aegis,Germany,27,20,4904.0,102.0,9.35,3.12,3.51,mpfi,158,4,ohc,2943,50.2,65.8,172.4,97.3,front,rwd,hatch back,2.0,std,gas,158.0
105,2019-12-21 05:41:33,Car160,13025.0,velox,Japan,27,19,5403.0,151.0,8.86,3.25,2.84,mpfi,112,4,dohc,3071,52.4,66.6,182.7,96.9,front,rwd,hatch back,2.0,std,gas,154.0
106,2021-10-30 01:54:35,Car776,18732.0,kronos,Germany,22,17,4999.0,139.0,8.45,3.32,3.58,mpfi,125,6,ohcv,3565,53.9,68.2,189.3,116.1,front,rwd,sedan,4.0,std,gas,118.0
107,2022-01-24 17:19:01,Car541,6368.0,raven,Japan,34,30,5186.0,68.0,9.39,3.12,3.07,2bbl,86,4,ohc,2006,51.2,63.6,162.8,93.8,front,fwd,sedan,2.0,std,gas,150.0
108,2022-08-25 04:22:41,Car274,17352.0,velox,Japan,29,20,5170.0,143.0,8.94,3.42,3.25,mpfi,149,6,dohc,2414,52.8,66.4,182.4,104.0,front,fwd,sedan,2.0,std,gas,127.0
109,2023-07-03 02:42:24,Car799,6985.0,velox,Japan,32,29,5039.0,76.0,9.01,3.0,3.06,2bbl,97,4,ohc,2102,55.9,64.1,167.4,94.8,front,fwd,wagon,4.0,std,gas,79.0
110,2020-10-15 10:05:09,Car565,8829.0,raven,Japan,37,30,5202.0,73.0,9.31,3.05,3.13,2bbl,99,4,ohc,2118,52.1,64.0,154.0,94.9,front,fwd,sedan,2.0,std,gas,169.0
111,2023-06-19 00:58:07,Car630,10370.0,vertex,Germany,32,28,4775.0,82.0,21.13,3.47,3.23,idi,112,4,ohc,2535,56.3,66.1,171.8,107.1,front,fwd,sedan,4.0,turbo,diesel,96.0
112,2020-09-20 21:11:12,Car263,19882.0,stratus,United States,24,17,4865.0,159.0,7.95,3.47,3.58,spdi,157,4,ohcv,2845,50.6,66.6,174.0,95.0,front,rwd,hatch back,2.0,turbo,gas,154.0
113,2020-06-25 10:33:02,Car261,19922.0,nimbus,Sweden,27,27,4349.0,103.0,21.09,3.31,3.32,idi,115,4,ohc,3198,56.0,66.5,186.8,106.3,front,rwd,sedan,4.0,turbo,diesel,88.0
114,2022-01-15 16:26:25,Car609,6744.0,atlas,Japan,26,25,5541.0,135.0,9.34,3.43,3.25,mpfi,108,4,ohc,2338,52.0,64.1,158.2,99.4,front,fwd,hatchback,2.0,std,gas,166.0
115,2020-02-24 16:01:01,Car210,10597.0,helix,Japan,28,18,5273.0,133.0,9.16,3.13,3.37,4bbl,114,2,rotor,2387,49.5,68.9,165.6,95.3,front,rwd,hatch back,2.0,std,gas,158.0
116,2023-02-09 10:07:58,Car281,15924.0,nimbus,Sweden,30,28,5395.0,110.0,9.66,3.17,3.66,mpfi,115,4,ohc,3097,56.0,66.6,178.2,108.4,front,fwd,sedan,4.0,std,gas,91.0
117,2019-03-17 22:16:39,Car293,14590.0,phoenix drive,Italy,24,24,5440.0,144.0,8.6,3.31,3.18,mpfi,114,6,dohc,2777,50.7,64.9,169.7,97.1,front,rwd,hatch back,2.0,std,gas,164.0
118,2018-07-17 16:13:28,Car161,19630.0,aegis,Germany,25,17,5183.0,194.0,8.36,3.34,3.49,mpfi,188,6,ohc,3246,55.1,66.0,164.0,94.6,front,rwd,hatchback,2.0,std,gas,151.0
119,2022-03-10 04:34:38,Car383,8937.0,stratus,United States,32,27,4952.0,78.0,8.62,3.33,3.15,2bbl,106,4,ohc,2229,55.3,63.9,170.1,95.3,front,fwd,sedan,4.0,std,gas,90.0
120,2023-01-20 05:32:23,Car380,6567.0,nexus,Japan,37,28,5458.0,72.0,9.39,3.43,3.05,1bbl,104,4,ohc,2065,55.1,64.1,168.1,96.3,front,fwd,sedan,4.0,std,gas,100.0
